filename,label
devel_28775.wav,0
devel_13399.wav,0
devel_36491.wav,0
devel_52967.wav,0
devel_33978.wav,0
devel_43880.wav,0
devel_48596.wav,0
devel_12422.wav,0
devel_17025.wav,0
devel_24441.wav,0
devel_39022.wav,0
devel_21021.wav,0
devel_44527.wav,0
devel_3454.wav,0
devel_17371.wav,0
devel_2318.wav,0
devel_6002.wav,0
devel_36588.wav,0
devel_42553.wav,0
devel_42864.wav,0
devel_21093.wav,1
devel_25098.wav,0
devel_53015.wav,2
devel_1156.wav,0
devel_53181.wav,0
devel_29306.wav,0
devel_46406.wav,0
devel_38837.wav,1
devel_7255.wav,0
devel_20388.wav,1
devel_26452.wav,1
devel_16705.wav,0
devel_51694.wav,0
devel_49921.wav,1
devel_40665.wav,0
devel_4407.wav,1
devel_10195.wav,2
devel_32477.wav,2
devel_23184.wav,1
devel_32950.wav,1
devel_26218.wav,2
devel_29302.wav,1
devel_19205.wav,1
devel_46302.wav,1
devel_44627.wav,0
devel_37561.wav,1
devel_15534.wav,2
devel_35554.wav,0
devel_51701.wav,2
devel_46730.wav,2
devel_44498.wav,1
devel_37642.wav,2
devel_50981.wav,2
devel_3297.wav,0
devel_8745.wav,1
devel_9677.wav,2
devel_9536.wav,2
devel_15932.wav,2
devel_33961.wav,2
devel_7929.wav,2
devel_11027.wav,2
devel_6142.wav,0
devel_19905.wav,0
devel_53405.wav,0
devel_23701.wav,0
devel_29066.wav,0
devel_52090.wav,0
devel_39303.wav,0
devel_39793.wav,0
devel_37709.wav,0
devel_46092.wav,0
devel_44890.wav,0
devel_24237.wav,0
devel_36861.wav,0
devel_5971.wav,0
devel_19831.wav,0
devel_16320.wav,0
devel_45428.wav,0
devel_28869.wav,0
devel_32123.wav,1
devel_20018.wav,0
devel_52084.wav,0
devel_27814.wav,0
devel_53461.wav,0
devel_12480.wav,0
devel_28181.wav,0
devel_42733.wav,0
devel_40353.wav,1
devel_34771.wav,1
devel_50958.wav,0
devel_12610.wav,1
devel_42253.wav,1
devel_24347.wav,1
devel_18248.wav,1
devel_41645.wav,1
devel_23973.wav,0
devel_19684.wav,1
devel_7104.wav,0
devel_3555.wav,1
devel_24189.wav,0
devel_53286.wav,0
devel_49848.wav,0
devel_37281.wav,1
devel_16058.wav,0
devel_12916.wav,0
devel_43866.wav,0
devel_5565.wav,1
devel_5274.wav,1
devel_52539.wav,1
devel_42752.wav,1
devel_0610.wav,1
devel_31439.wav,1
devel_24812.wav,2
devel_30598.wav,1
devel_45834.wav,1
devel_22656.wav,0
devel_1977.wav,0
devel_29228.wav,1
